ID,areaPath,severity,createdDate,environment,resolvedReason,resolvedDate,daysToFix
53926,Superdigital\Payment Account\Ninjas,3 - Medium,2021-01-19T22:46:47.37Z,development,Fixed,2021-01-19T22:54:18.66Z,0
14336,Superdigital\Payment Account,3 - Medium,2020-05-04T17:46:59.923Z,NA,Fixed,2020-05-12T15:50:26.107Z,6
58436,Superdigital\Payment Account\Ninjas,3 - Medium,2021-02-10T21:28:11.31Z,development,Fixed,2021-02-10T21:35:51.75Z,0
9203,Clients Channel\Onboarding (OB),3 - Medium,2020-03-05T18:33:16.183Z,NA,Fixed and verified,2020-05-08T20:16:03.98Z,46
26694,Clients Channel,3 - Medium,2020-07-24T18:47:33.89Z,NA,Fixed,2020-08-05T20:11:14.117Z,8
15864,Superdigital\Cards,3 - Medium,2020-05-15T14:34:03.62Z,NA,Fixed,2020-05-15T14:34:27.163Z,0
24704,Superdigital\Payment Account,1 - Critical,2020-07-09T22:17:48.177Z,NA,Fixed,2020-07-16T12:45:14.28Z,5
39660,Transaction Broker\El10,1 - Critical,2020-10-22T18:16:45.843Z,production,Fixed and verified,2020-11-05T13:37:07.557Z,10
17653,Clients Channel\Onboarding (OB),4 - Low,2020-05-27T20:40:59.027Z,NA,Fixed,2020-06-16T12:45:23.17Z,14
30938,Clients Channel\Cash Out (COUT),3 - Medium,2020-08-24T20:47:19.9Z,staging,NA,NA,-1
66485,Superdigital\Cross Development,3 - Medium,2021-03-23T21:01:15.39Z,qa,Fixed,2021-03-25T19:24:52.733Z,2
33664,Superdigital\Payment Account,3 - Medium,2020-09-11T01:36:34.547Z,qa,Fixed,2020-09-11T02:11:16.41Z,0
56434,Transaction Broker - PIX Brasil,3 - Medium,2021-02-02T21:10:58.813Z,production,NA,NA,-1
43256,Client Support,2 - High,2020-11-11T13:29:01.093Z,qa,Fixed and verified,2021-01-07T18:48:31.207Z,41
5026,Clients Channel\Onboarding (OB),4 - Low,2020-01-28T18:31:08.373Z,NA,Obsolete,2020-05-11T18:13:35.357Z,74
51140,Superdigital\Onboarding\Onboarding - Patomba,3 - Medium,2020-12-29T20:12:55.577Z,production,Fixed,2021-01-06T12:33:16.137Z,6
14398,Superdigital\Cards,3 - Medium,2020-05-04T20:57:26.443Z,NA,Fixed,2020-05-12T14:43:40.19Z,6
3152,Clients Channel\Onboarding (OB),3 - Medium,2019-12-23T19:21:58.86Z,NA,Fixed,2020-01-24T15:57:06.477Z,24
23299,Superdigital\Cards,3 - Medium,2020-07-02T13:56:37.893Z,NA,Fixed,2020-07-06T14:06:34.887Z,2
36688,Clients Channel\Onboarding (OB),3 - Medium,2020-10-01T15:17:57.38Z,development,Fixed and verified,2020-10-01T15:18:01.733Z,0
45049,Superdigital\Payment Account,3 - Medium,2020-11-20T19:09:33.827Z,qa,Fixed,2020-11-20T21:02:26.477Z,0
11310,Superdigital\Cards,3 - Medium,2020-04-02T16:45:47.963Z,NA,Fixed,2020-04-06T19:49:40.043Z,2
52473,Superdigital\Payment Account\Ninjas,3 - Medium,2021-01-11T16:23:31.627Z,development,Fixed,2021-01-11T17:54:31.837Z,0
31482,Clients Channel\Cash Out (COUT),1 - Critical,2020-08-27T20:11:45.057Z,qa,Fixed,2020-09-01T12:25:20.567Z,3
43956,Superdigital\PJ\Payroll,3 - Medium,2020-11-16T20:03:03.793Z,qa,NA,NA,-1
