name,commits,files
cc-ui-design,1,1
config-repo-development,2846,129
qa-automation-rest-api-transaction-broker,21,5
trn-svc-billpay,104,83
kafka-listener,72,69
pa-qa-integration-operation,5,15
api-trn-operation,1,1
cd-qa-lake,100,68
arq-lib-common-appinsights,24,33
qa-automation-rest-api-avengers,6,3
pa-cronjobs,68,10
cd-ms-cards-management,463,240
ccoe-td-topaz,1,26
do-tf-azure-business-intelligence,12,25
template-java,1,2
sd-flutter-design-system,1,2
dev-pipeline-poc,1,2
qa-automation-rest-api-mapuches,1,1
arq-lib-common-tracer,27,24
cad-ms-userprofile-bff,106,95
san-ios-va,15,52
bcc-gp-ms-authorization,81,119
config-repo-production,736,112
onboarding-pod-ios,892,1619
ob-ms-survey,106,100
cassandra-migrate,80,17
trn-db-integration-spb,70,10
qa-automation-rest-api-vikingos,1,1
do-helm-kafka-connect-ui,11,11
ob-ms-keynua,84,93
pa-ms-dormancy,2,2
bcc-ms-onboarding-legalperson,293,143
ob-lib-workflows,83,33
arq-lib-superdigital-encryption,10,43
arq-cli-web-tool,60,2368
qa-automation-rest-api-cards-management,13,5
qa-pampas-person-integrated-tests,12,14
api-cad-userprofile-bff,1,1
trn-svc-config-pts-br,359,76
api-pa-product,7,7
qa-tb-argentina-integrated-tests,5,14
san-auth-android,106,166
cd-qa-integration-embossing,16,17
pa-qa-lake,66,62
cd-ms-posting-mastercard,556,973
bcc-keycloak-design,14,1675
api-pa-lock-document,1,1
cad-events-notifications,95,49
cad-ms-whatsapp-notification,137,80
test-vmazzi,6,4
pix-spi-pagador-response-worker,1,1
do-harbor-ocp,51,35
do-poc-yarn,8,24
bcc-qa-automation,30,415
ob-ms-FavoriteOtherBanks-Integration-collector,9,47
bcc-ms-transport,591,167
qa-test-web-trn,1,1
pocs-mongo-cosmosdb,1,10
config-repo-preproduction,328,127
superdigital-ios,549,309
cd-events-embossing,142,34
arq-lib-common-silverback,112,92
bi-datalake,58,65
cad-client-ms-notification,10,15
trn-ms-integration-spb,219,241
arq-lib-common-data,42,77
do-kube-state-metrics,2,23
cassandra-migrate-agent,20,13
qa-automation-rest-api-cross-development,1,1
do-vm-agent-vsts,2,38
pix-bacen-recebimento-worker,1,1
bcc-gp-api-definitions,21,7
do-tf-hbase,8,10
pm-client-ms-acquiring-MIT,1,1
ob-ms-renaper,157,76
arq-lib-web-api,30,19
ob-events-BankStatement-Integration,3,14
ob-ms-account-integration-collector-old,3,956
cl-transport-sonda-assets,1,5
cd-ms-transaction-history,87,53
qa-tb-uruguay-integrated-tests,3,10
poc-superdigital-flutter,3,89
cad-db-kyc,102,39
bcc-ms-legalperson,257,129
ob-ms-prospect-email-validation,142,73
trn-client-channels-storage,13,20
pa-client-ms-person,79,39
pa-client-lock-documents,17,34
pipelines-templates,357,39
config-repo-ocdev,1790,135
do-kaniko,1,1
ssd.do.pipelines-agents,44,14
crm-qa,401,101
qa-automation-rest-api-quantum,16,10
pa-events-accounts,226,74
do.downtime.test,55,48
arq-lib-mediatr,35,26
ob-ms-prospect.renato.ulrich,834,325
cd-qa-integration-posting-chargeback,15,8
pa-client-ms-charges-and-benefits,50,105
projects.wiki,13,2
ob-events-FavoriteMobileRecharge-integration,3,14
bcc-gp-ms-filesmanager,478,273
ccoe-td-cpqd,1,1
ob-ms-veridas,130,29
do-poc-react,59,17
trn-ms-payment,417,283
do-ansible-elasticsearch,57,65
api-cad-consent,1,1
pix-bacen-envio-worker,1,1
cad-db-address,49,255
cd-sftp-server,36,11
cd-ms-notification-facade,45,40
config-repo-pull-requests,1,1
do-grafana,3,40
config-repo-qa,2047,126
ob-ms-serasa,69,71
pa-ms-exchange-rates,42,135
arq-lib-message-manager,54,82
cd-azure-minio,26,25
cd-lib-authorizer,1187,213
pocs-globalplatform-dotnet,13,203
api-NOUSAR-router,1,1
cd-ms-configuration,120,143
trn-ios-main,851,1456
pa-events-products,136,50
ob-web-utils,1264,664
frontend.wiki,174,86
do-poc-sonarqube,31,10
pix-jdpi-cabine-web,1,1
do-prometheus-node-exporter,2,16
arq-lib-distributed-cache,16,24
api-pa-operation,1,1
do-helm-kafka-rest-api,21,12
pix-qrc-token-api,1,1
cad-ms-address,209,232
cd-iso-hex2xml,10,9
trn-ms-pix,117,218
do-ping,4,6
tooling,10,14
do-helm-jaeger,17,17
ob-web-main,597,218
ccoe-td-peru,6,18
cad-ms-notification-sender,127,97
ssd.puppet.roles,22,10
qa-trn-integrated-tests,1,1
pa-client-ms-tax-manager,24,35
bcc-gp-ms-payslips,13,162
trn-android-main,1741,582
bcc-qa-integration-filesmanager,5,3
test-us-tag,1,1
api-NOUSAR-hellosd-v1,1,1
do-tf-adls,51,15
sdbrasil-token-v2,48,116
cd-ms-safe-mastercard,177,88
design-system-component-ios,166,2488
ssd.puppet.enc,1,2
pa-ms-tax-manager,289,486
design-token-language,269,9143
pa-client-ms-transactions,40,43
template-dotnet,141,97
ob-events-emailage-integration,6,14
pa-qa-integration-organizational-structure,9,4
doc,1,1
pa-qa-integration-charges-and-benefits,10,6
sd-brasil-token,15,119
api-ob-veridas,1,1
pa-client-ms-extract,14,23
crm,330,103
cd-qa-integration-configuration-management,14,5
zeebe-operate-helm,25,18
bcc-qa-integration-associates,14,5
bcc-gp-ms-associates,411,261
cad-ms-email-risk,95,98
ob-ms-prospect,836,323
bcc-events-ms-filesmanager,45,20
ob-ms-files-manager,114,69
devops-backlog,12,3
ob-web-onboarding,1026,568
ob-ms-FavoriteTransferBetweenSuper-Integration-collector,3,47
sdi.az.virtualmachine-s3,57,5
poc-templates,10,23
pa-qa-integration-account-management,24,7
ob-mfe-personal,44,106
ob-ms-validate-internal-list,174,118
pa-ms-charges-and-benefits,1477,1176
bcc-gp-events-ms-payments,52,38
rr-ms-4.1-bacen-ccs,26,11
ob-events-balance-integration,27,16
crm-ocp-pro,176,111
trn-api-definitions,213,23
trn-svc-adaptor-pts-pix,4,122
do-ansible-opendj,104,66
pa-ms-calculation-log,54,132
tb-api-adaptor-pts,14,2
pro-superdigital-l-master,1,16
trn-lib-deserialize-header,11,11
bcc-events-ms-notifier,5,16
arq-internal-gateway,18,28
superdigital-gradle-axion.devops,210,275
api-ob-bff,7,7
saas-ms-transaction,1,2
qa-interopTransfer-integrated-tests,1,1
crm-ocp-dev,282,111
bcc-ms-payments,351,235
pa-events-tax-manager,9,16
qa-azure-rest,1,1
qa-pix-brazil-integrated-tests,1,1
api-edge-config,1,1
cad-ms-sms-notification,144,79
android-components,1,2
cd-ms-hsm,221,73
pa-qa-integration-lock-documents,2,6
pa-qa-integration-product,31,7
qa-tb-peru-integrated-tests,5,10
trn-svc-adaptor-pts-migration,550,203
ux-lib-superdigital,89,32
api-cd-transaction-history,1,1
