name,language,numberOfFiles,loc
cad-client-ms-notification,C#,7,150
cad-client-ms-notification,YAML,2,60
cad-client-ms-notification,MSBuild script,2,32
cad-client-ms-notification,Markdown,1,27
cad-client-ms-notification,total,12,269
pa-ms-garnishment,C#,265,71594
pa-ms-garnishment,Smalltalk,11,6228
pa-ms-garnishment,JSON,8,344
pa-ms-garnishment,YAML,9,280
pa-ms-garnishment,MSBuild script,9,181
pa-ms-garnishment,Markdown,1,16
pa-ms-garnishment,Dockerfile,1,9
pa-ms-garnishment,DOS Batch,1,1
pa-ms-garnishment,total,305,78653
api-cad-consent,Markdown,1,16
api-cad-consent,total,1,16
cd-ms-authorizer-mastercard,C#,173,8947
cd-ms-authorizer-mastercard,JSON,15,597
cd-ms-authorizer-mastercard,YAML,14,584
cd-ms-authorizer-mastercard,MSBuild script,13,263
cd-ms-authorizer-mastercard,Smalltalk,3,166
cd-ms-authorizer-mastercard,Markdown,1,19
cd-ms-authorizer-mastercard,total,219,10576
pix-jdpi-cabine-web,Markdown,1,16
pix-jdpi-cabine-web,total,1,16
cd-client-transactionbroker,C#,29,1103
cd-client-transactionbroker,YAML,2,99
cd-client-transactionbroker,MSBuild script,3,63
cd-client-transactionbroker,Markdown,1,16
cd-client-transactionbroker,total,35,1281
trn-svc-interop,XML,13,1277
trn-svc-interop,Maven,5,272
trn-svc-interop,Bourne Shell,2,217
trn-svc-interop,DOS Batch,2,148
trn-svc-interop,Java,2,80
trn-svc-interop,YAML,1,53
trn-svc-interop,Markdown,2,17
trn-svc-interop,SQL,1,1
trn-svc-interop,total,28,2065
arq-lib-message-manager,C#,54,1905
arq-lib-message-manager,MSBuild script,9,140
arq-lib-message-manager,JSON,9,137
arq-lib-message-manager,Markdown,1,102
arq-lib-message-manager,YAML,2,49
arq-lib-message-manager,total,75,2333
pm-ms-subacquiring-bff,C#,108,3287
pm-ms-subacquiring-bff,JSON,14,469
pm-ms-subacquiring-bff,YAML,10,329
pm-ms-subacquiring-bff,MSBuild script,9,286
pm-ms-subacquiring-bff,Markdown,1,16
pm-ms-subacquiring-bff,Dockerfile,1,9
